id	nom	cat	prix	palier	cle	statut	licence	origine	mots_cles	resume	urls
shadowbroker	ShadowBroker (réf. amont)	4 · Géoservices & imagerie de la tour	materiel	A	non	reference	AGPL-3.0 (11,1 k★, actif)	13	shadowbroker r f amont shadowbroker g oservices imagerie de la tour source de patterns pour 8 couches de la tour gpsjamming js darkvessels js satpasses js notams js outages js sarchanges js telegrampins js countrydossier js et surtout son mod le serveur recon proxifi e c t backend ssrf guard auth op rateur local exactement ce que notre tour doit imiter cpu	La V2 4D de « God's Eye View » déjà construite par quelqu'un d'autre : 60+ flux OSINT (ADS-B, AIS 25 000+ navires via aisstream.io, satellites, GPS jamming par dégradation NAC-P, pannes internet via IODA, SAR NASA OPERA/	https://github.com/BigBodyCobain/Shadowbroker
recorder-4d	Enregistreur temporel (le vrai manque)	4 · Géoservices & imagerie de la tour	materiel	A	non	absent	à écrire (nous)	13	enregistreur temporel le vrai manque recorder 4d g oservices imagerie de la tour src timeline replayer js src recorder collectors mjs et le calque darkvessels js qui n existe que gr ce l historique un trou dans l ais une d tection sinon rien d tecter cpu	La leçon des vidéos Hormuz : ce qui rend une tour « 4D », ce n'est pas un calque de plus, c'est **l'enregistrement continu** (il « enregistrait depuis le 25 février ») + une timeline réplayable. Sans ça, la tour est éter	https://duckdb.org/docs/stable/guides/ingestion/ingesting_parquet.html https://cesium.com/learn/cesiumjs/ref-doc/Clock.html
satellite-passes	Prédictions de passage satellite (Skyfield + CelesTrak)	4 · Géoservices & imagerie de la tour	materiel	A	non	absent	MIT (Skyfield, sgp4) · CelesTrak = données gratuites	13	pr dictions de passage satellite skyfield celestrak satellite passes g oservices imagerie de la tour src satpasses js lignes de vis e vers une zone suivie fen tre d imagerie sentinel 2 nuages via open meteo la tour dit quand photographier cpu	Le calque « un satellite passe au-dessus de ce site à 14 h 07 » : TLE/OMM gratuits, propagation locale, liens avec les couches imagerie et alertes.	https://github.com/skyfielders/python-skyfield https://celestrak.org https://github.com/brandon-rhodes/python-sgp4
aisstream	aisstream.io (flux AIS temps réel)	4 · Géoservices & imagerie de la tour	avec-compte	A	compte	partiel	service gratuit, clé sur inscription	14	aisstream io flux ais temps r el aisstream g oservices imagerie de la tour src vessels js d j pr vu amont enregistrement indispensable pour darkvessels js cpu	WebSocket mondial d'AIS : c'est la source qui a permis l'analyse du détroit d'Ormuz (130 traversées/j → ~10, soit -92 %). L'amont de ta tour prévoyait déjà cette clé.	https://aisstream.io https://app.aisstream.io
pipe-gaps	GlobalFishingWatch/pipe-gaps (navires sombres)	4 · Géoservices & imagerie de la tour	materiel	A	non	absent	Apache-2.0	14	globalfishingwatch pipe gaps navires sombres pipe gaps g oservices imagerie de la tour src darkvessels js le navire dispara t un pointill une fiche derni re position connue aucune identification de personne uniquement des entit s maritimes cpu	Détection de **trous temporels dans les messages de position AIS** : l'algo public derrière le phénomène « dark transit » décrit dans l'article (Jag Vasant : pointillés = passage sous escorte).	https://github.com/GlobalFishingWatch/pipe-gaps
notams	NOTAM / fermetures d'espace aérien	4 · Géoservices & imagerie de la tour	materiel	A	non	absent	données publiques (FAA/EASA) ; parseurs MIT	13	notam fermetures d espace a rien notams g oservices imagerie de la tour src airspace js nouveau agr gat nearbyplaces js alerte quand une zone surveill e est couverte cpu	Les « airspace closures » en cascade que la vidéo 2 montre en timeline : la tour doit savoir où et quand le ciel est fermé.	https://notamweb.faa.gov https://github.com/svoop/notam https://www.easa.europa.eu/en/domains/airspaces
outages	Surveillance des pannes internet (Cloudflare Radar / IODA / Restless)	4 · Géoservices & imagerie de la tour	avec-compte	A	compte	absent	API gratuites (compte) ; Restless MIT	13	surveillance des pannes internet cloudflare radar ioda restless outages g oservices imagerie de la tour src outages js un kpi inteltwin js connectivit territoriale tr s pertinent pour un usage fr outre mer crises cpu	Le calque « Téhéran en blackout » : corréler coupures réseau et événements, sur une timeline.	https://developers.cloudflare.com/radar/ https://ioda.caida.org https://github.com/RIPE-NCC/restless https://radar.cloudflare.com
gdelt	GDELT (événements mondiaux géolocalisés)	3 · OSINT infrastructures	materiel	A	non	absent	données ouvertes (usage gratuit, non commercial pour les gros volumes)	14	gdelt v nements mondiaux g olocalis s gdelt osint infrastructures src gdelt js pins incidents cliquables dans fichelieu nourrit le mode analyse de inteltwin cpu	Un point par événement géopolitique (manifestation, incident aérien, explosion…) avec date, lieu, tons émotionnels : la **couche temporelle** qui transforme une carte en 4D, sans aucune clé.	https://www.gdeltproject.org https://blog.gdeltproject.org/gdelt-doc-2-0-api-debuts/ https://api.gdeltproject.org/api/v2/doc/doc
sar-opera	SAR : NASA OPERA + Copernicus EGMS + Sentinel-1	4 · Géoservices & imagerie de la tour	avec-compte	A	compte	absent	données ouvertes (comptes Earthdata / Copernicus gratuits)	14	sar nasa opera copernicus egms sentinel 1 sar opera g oservices imagerie de la tour src sar js diff avant apr s alertes de d formation sur les sites suivis via l api alertes d egms cpu	Voir à travers les nuages et mesurer le déplacement du sol au millimètre : digues, friches, affaissements, glissements — le calque qui rend la tour utile **en France** (et ce que la vidéo 2 appelle le « ground change det	https://search.earthdata.nasa.gov/search?q=OPERA https://asf.alaska.edu/datasets/operational-products/opera/ https://egms.land.copernicus.eu https://dataspace.copernicus.eu
gibis	NASA GIBS + Copernicus Browser (imagerie quotidienne gratuite)	4 · Géoservices & imagerie de la tour	materiel	A	non	absent	domaine public / Copernicus (citer)	14	nasa gibs copernicus browser imagerie quotidienne gratuite gibis g oservices imagerie de la tour calque dailyimagery js dans la pile mapstackcontroller 3e source gratuite apr s esri et carto cpu	Les images « before/after » du reportage, à 0 $ : tuiles WMTS quotidiennes MODIS/VIIRS/Sentinel-2, sans clé.	https://nasa-gibs.github.io/gibs-api-docs/ https://worldview.earthdata.nasa.gov https://browser.dataspace.copernicus.eu
eia-oil	EIA API (futures et prix du carburant)	4 · Géoservices & imagerie de la tour	avec-compte	A	compte	absent	données publiques US, clé gratuite immédiate	14	eia api futures et prix du carburant eia oil g oservices imagerie de la tour src markets js un kpi dans le bandeau inteltwin js cpu	Les courbes de brut du reportage (Brent, WTI, essai) synchronisées sur la timeline du globe.	https://www.eia.gov/api/ https://www.eia.gov/opendata/
desal-power	Infrastructures critiques : désalination + centrales	4 · Géoservices & imagerie de la tour	materiel	A	non	absent	OSM (ODbL) / datasets à vérifier	14	infrastructures critiques d salination centrales desal power g oservices imagerie de la tour kpi civilisation territoriale d j dans inteltwin js devient aliment par des donn es sourc es au lieu d heuristiques cpu	Le chapitre « Desalination Plants & The Water Crisis » : la tour doit connaître l'infrastructure vitale du territoire qu'elle surveille.	https://ida-desalination.org/publications/ida-desalination-performance-guide https://powerplants.copernicus.fr/ https://openstreetmap.fr
hloc	hloc (localisation visuelle 6-DoF)	4b · Positionnement spatial (VPS) & ancrage des scans	materiel	B	non	absent	Apache-2.0 (4,2 k★)	12	hloc localisation visuelle 6 dof hloc positionnement spatial vps ancrage des scans anchoring des calques positionner une cam ra cctv un drone ou un t l phone dans le scan 3dgs puis relier qui regarde quoi dans cctvfocuspolicy js inteltwin js gpu	La version **libre et auto-hébergée** du VPS montré avec les Ray-Bans : image requête → retrieval + SuperPoint/SuperGlue → pose 6-DoF contre un modèle SfM. Centimétrique, hors-ligne, aucune API.	https://github.com/cvg/Hierarchical-Localization https://github.com/cvg/SuperGluePretrainedNetwork
colmap	COLMAP (SfM de référence)	4b · Positionnement spatial (VPS) & ancrage des scans	materiel	A	non	absent	new BSD (le fichier LICENSE l'affirme ; GitHub renvoie NOASSERTION ⚠️)	12	colmap sfm de r f rence colmap positionnement spatial vps ancrage des scans scripts photo to model sh 150 photos d un site colmap brush splats ancrage via hloc cpu	Reconstruction 3D + poses caméra à partir de photos : c'est la « 3D map pré-scanée » dont parle la vidéo — l'intrant de hloc **et** des splats.	https://github.com/colmap/colmap https://colmap.github.io
arcore-geospatial	Google ARCore Geospatial API	4b · Positionnement spatial (VPS) & ancrage des scans	avec-compte	ABC	compte	reference	gratuit (sans facturation à l'appel), quota + compte obligatoire	12	google arcore geospatial api arcore geospatial positionnement spatial vps ancrage des scans non d pendance mobile compte google pattern utile match image mod le 3d c est exactement hloc cpu	Le VPS « mondial » par défaut : Localisation VLM sur 15 ans d'images Street View dans 100+ pays. C'est ce que l'auteur a construit chez Google.	https://developers.google.com/ar/develop/geospatial https://developers.google.com/ar/develop/geospatial/android/placecolors
niantic-vps	Niantic Spatial VPS + Scaniverse	4b · Positionnement spatial (VPS) & ancrage des scans	avec-compte	ABC	compte	absent	gratuit < 50 k MAU (VPS/ARDK) ; Scaniverse = app gratuite + crédits	12	niantic spatial vps scaniverse niantic vps positionnement spatial vps ancrage des scans scripts scan to globe sh scaniverse export splat aholo splat transform spz lod collisions calque de la tour le vps de niantic lui ne sert pas si on reste en local cpu	Le VPS communautaire : 30 Md de photos issues de Pokémon GO/Ingress, et **Scaniverse** qui produit des splats 3D + maps VPS depuis un téléphone — la chaîne complète « capture → ancrage ».	https://www.nianticspatial.com/products/visual-positioning-system https://scaniverse.com https://www.nianticspatial.com/en/faq/scaniverse
multiset-vps	MultiSet AI (VPS commercial)	4b · Positionnement spatial (VPS) & ancrage des scans	freemium	ABC	payant	reference	service propriétaire (SDK Unity/iOS/Android/WebXR/Quest/ROS 2)	12	multiset ai vps commercial multiset vps positionnement spatial vps ancrage des scans aucune si un jour du hardware lunettes drone robot doit tre ancr sur un site valuer multiset vs hloc en co t total pas en d mo cpu	Le VPS utilisé dans la vidéo Ray-Ban : scan-agnostique (E57, Matterport, PLY, **3DGS**, Polycam, NavVis, Leica, XGRIDs, captures 360°), 6-DoF annoncé **« < 10 cm »** au départ à froid, indoor-extérieur via indice GNSS, m	https://www.multiset.ai/visual-positioning-system https://www.multiset.ai/pricing https://www.multiset.ai/developers
rayban-capture	Capture Meta Ray-Ban / téléphone (option matériel)	10 · Références, modèles et pièges à éviter	option-publique	ABC	payant	reference	matériel (300 $) — SDK lunette gratuit	12	capture meta ray ban t l phone option mat riel rayban capture r f rences mod les et pi ges viter src anchors camerapose js recevoir des poses depuis un client mobile websocket vers la tour et les dessiner c est tout l effet voir travers les murs plusieurs cam ras une seule carte cpu	La leçon matérielle : avec une simple caméra (+ un scan 3D préalable), on remplace un casque militaire à 30 000 $ (Anduril EagleEye). Un téléphone suffit ; les lunettes ne sont que l'ergonomie.	https://www.anduril.com/eagleeye https://developers.meta.com/horizon/
